Date,Total cases,Total recovered,Total death,Daily Cases,Daily Recovered,Daily Death
2020-07-16,34854,14292,769,595,293,9
2020-07-17,35454,14633,772,600,341,3
2020-07-18,36107,14938,778,653,305,6
2020-07-19,36663,15105,789,556,167,11
2020-07-20,37225,15333,801,562,228,12
2020-07-21,37801,15677,805,576,344,4
2020-07-22,38344,15815,813,543,138,8
2020-07-23,38948,16061,833,604,246,20
2020-07-24,39539,16559,845,591,498,12
2020-07-25,39977,16948,856,438,389,11
2020-07-26,40532,17374,858,555,426,2
2020-07-27,41180,18203,860,648,829,2
2020-07-28,41804,18764,868,624,561,8
2020-07-29,42208,19004,873,404,240,5
2020-07-30,42689,19270,878,481,266,5
2020-07-31,43151,19565,879,462,295,1
2020-08-01,43537,20087,883,386,522,4
2020-08-02,43841,20308,888,304,221,5
2020-08-03,44129,20663,896,288,355,8
2020-08-04,44433,31851,910,304,11188,14
2020-08-05,44890,32165,927,457,314,17
2020-08-06,45244,32430,930,354,265,3
2020-08-07,45687,32637,936,443,207,6
2020-08-08,46140,33044,942,453,407,6
2020-08-09,46577,33186,945,437,142,3
2020-08-10,46867,33346,950,290,160,5
2020-08-11,47290,33609,956,423,263,6
2020-08-12,47743,33943,956,453,334,0
2020-08-13,48116,34309,966,373,366,10
2020-08-14,48445,35998,973,329,1689,7
2020-08-15,48770,36290,974,325,292,1
2020-08-16,49068,36497,975,298,207,1
2020-08-17,49485,36834,977,417,337,2
2020-08-18,49895,37051,981,410,217,4
2020-08-19,50488,37304,985,593,253,4
2020-08-20,50964,37569,992,476,265,7
2020-08-21,51304,37885,996,340,316,4
2020-08-22,51905,38767,997,601,882,1
2020-08-23,52227,38945,1002,322,178,5
2020-08-24,52548,39257,1004,321,312,2
2020-08-25,52800,39964,1007,252,707,3
2020-08-26,53021,40281,1010,221,317,3
2020-08-27,"53,317","40,726",1011,296,445,1
2020-08-28,53477,41017,1011,160,291,0
2020-08-29,53727,41314,1011,250,297,0
2020-08-30,53865,41513,1013,138,199,2
2020-08-31,54008,41638,1013,143,125,0
2020-09-01,54247,42010,1023,239,372,10
2020-09-02,54463,42439,1027,216,429,4
2020-09-03,54587,42627,1048,124,188,21
2020-09-04,54743,42816,1051,156,189,3
2020-09-05,54905,42922,1054,162,106,3
2020-09-06,55005,43013,1057,100,91,3
2020-09-07,55160,43231,1061,155,218,4
2020-09-08,55456,43334,1067,296,103,6
2020-09-09,55632,43610,1070,176,276,3
2020-09-10,55829,43810,1075,197,200,5
2020-09-11,56017,43998,1076,188,188,1
2020-09-12,56177,44088,1078,160,90,2
2020-09-13,56256,44152,1082,79,64,4
2020-09-14,56388,44337,1083,132,185,1
2020-09-15,56479,44430,1088,91,93,5
2020-09-16,56604,47872,1091,125,3442,3
2020-09-17,56735,48092,1093,131,220,2
2020-09-18,56956,48305,1094,221,213,1
2020-09-19,57145,48431,1095,189,126,1
2020-09-20,57242,48569,1098,97,138,3
2020-09-21,57437,48674,1100,195,105,2
2020-09-22,57613,48836,1100,176,162,0
2020-09-23,57724,48985,1102,111,149,2
2020-09-24,57849,49098,1102,125,113,0
2020-09-25,58062,49606,1103,213,508,1
2020-09-26,58198,49772,1106,136,166,3
2020-09-27,58324,49794,1108,126,22,2
2020-09-28,58460,49895,1111,136,101,3
2020-09-29,58647,49937,1111,187,42,0
2020-09-30,58848,50358,1112,201,421,1
2020-10-01,59100,50452,1112,252,94,0
2020-10-02,59127,50693,1112,27,241,0
2020-10-03,59287,50718,1113,160,25,1
2020-10-04,59345,50768,1113,58,50,0
2020-10-05,59465,50951,1113,120,183,0
2020-10-06,59583,51308,1113,118,357,0
2020-10-07,59738,51403,1113,155,95,0
2020-10-08,59841,51551,1113,103,148,0
2020-10-09,59992,51614,1113,151,63,0
2020-10-10,60103,51711,1115,111,97,2
2020-10-11,60266,51735,1115,163,24,0
2020-10-12,60430,51943,1115,164,208,0
2020-10-13,60665,52006,1116,235,63,1
2020-10-14,60834,52143,1116,169,137,0
2020-10-15,60982,52196,1116,148,53,0
2020-10-16,61194,52304,1119,212,108,3
2020-10-17,61307,56557,1123,113,4253,4
2020-10-18,61440,56611,1125,133,54,2
2020-10-19,61558,56697,1125,118,86,0
2020-10-20,61630,56797,1125,72,100,0
2020-10-21,61667,56880,1125,37,83,0
2020-10-22,61805,56985,1127,138,105,2
2020-10-23,61882,57190,1129,77,205,2
2020-10-24,61930,57285,1129,48,95,0
2020-10-25,61992,57465,1130,62,180,1
2020-10-26,62111,57571,1132,119,106,2
2020-10-27,62224,57916,1135,113,345,3
2020-10-28,62371,58095,1139,147,179,4
2020-10-29,62521,58249,1141,150,154,2
2020-10-30,62691,58430,1144,170,181,3
2020-10-31,62853,58675,1144,162,245,0
2020-11-01,62964,58790,1146,111,115,2
2020-11-02,63036,59328,1147,72,538,1
2020-11-03,63173,59634,1151,137,306,4
2020-11-04,63328,59675,1155,155,41,4
2020-11-05,63508,59748,1155,180,73,0
2020-11-06,63731,59844,1155,223,96,0
2020-11-07,63790,59884,1155,59,40,0
2020-11-08,64090,59910,1155,300,26,0
2020-11-09,64184,60069,1158,94,159,3
2020-11-10,64336,60333,1160,152,264,2
2020-11-11,64516,60737,1162,180,404,2
2020-11-12,64728,60790,1162,212,53,0
2020-11-13,64884,60936,1163,156,146,1
2020-11-14,64996,61029,1163,112,93,0
2020-11-15,65148,61073,1163,152,44,0
2020-11-16,65305,61162,1163,157,89,0
2020-11-17,65457,61337,1163,152,175,0
2020-11-18,65693,61457,1163,236,120,0
2020-11-19,65839,61573,1165,146,116,2
2020-11-20,65982,61782,1165,143,209,0
2020-11-21,66228,61884,1166,246,102,1
2020-11-22,66383,62076,1167,155,192,1
2020-11-23,66439,62241,1168,56,165,1
2020-11-24,66607,62311,1169,168,70,1
2020-11-25,66805,62493,1169,198,182,0
2020-11-26,66974,62585,1169,169,92,0
2020-11-27,67220,62686,1171,246,101,2
2020-11-28,67330,62819,1171,110,133,0
2020-11-29,67412,63055,1173,82,236,2
2020-11-30,67557,63282,1173,145,227,0
2020-12-01,67838,63430,1176,281,148,3
2020-12-02,67960,63839,1177,122,409,1
2020-12-03,68303,64291,1179,343,452,2
2020-12-04,68627,64467,1179,324,176,0
2020-12-05,68937,64643,1180,310,176,1
2020-12-06,69255,64774,1180,318,131,0
2020-12-07,69645,64947,1181,390,173,1
2020-12-08,70195,65110,1182,550,163,1
2020-12-09,70669,65242,1184,474,132,2
2020-12-10,71344,65474,1190,675,232,6
2020-12-11,72140,65722,1190,796,248,0
2020-12-12,72757,65850,1194,617,128,4
2020-12-13,73175,66090,1197,418,240,3
2020-12-14,73374,66314,1197,199,224,0
2020-12-15,74132,66494,1200,758,180,3
2020-12-16,75062,66775,1200,930,281,0
2020-12-17,76207,67110,1201,1145,335,1
2020-12-18,77013,67484,1212,806,374,11
2020-12-19,77933,67784,1218,920,300,6
2020-12-20,78434,68303,1221,501,519,3
2020-12-21,78790,68483,1227,356,180,6
2020-12-22,79789,68879,1231,999,396,4
2020-12-23,80922,69274,1236,1133,395,5
2020-12-24,81963,69651,1242,1041,377,6
2020-12-25,82747,70267,1246,784,616,4
2020-12-26,83576,70495,1247,829,228,1
2020-12-27,84414,71034,1254,838,539,7
2020-12-28,84811,71357,1264,397,323,10
2020-12-29,85560,71937,1267,749,580,3
2020-12-30,86576,73322,1278,1016,1385,11
2020-12-31,87564,73713,1289,988,391,11
2021-01-01,88587,74373,1294,1023,660,5
2021-01-02,89163,74789,1302,576,416,8
2021-01-03,90080,75044,1311,917,255,9
2021-01-04,91284,75699,1318,1204,655,7
2021-01-05,92705,76396,1319,1421,697,1
2021-01-06,92705,76396,1319,0,0,0
2021-01-07,95934,77982,1330,3229,1586,11
2021-01-08,97478,78552,1342,1544,570,12
2021-01-09,99063,79417,1350,1585,865,8
2021-01-10,100087,80030,1358,1024,613,8
2021-01-11,101331,80491,1361,1244,461,3
2021-01-12,102601,81574,1373,1270,1083,12
2021-01-13,103999,82555,1382,1398,981,9
2021-01-14,105478,83830,1405,1479,1275,23
2021-01-15,105600,84000,1416,122,170,11
2021-01-16,108943,85367,1420,3343,1367,4
2021-01-17,110000,87200,1431,1057,1833,11
2021-01-18,112004,89939,1449,2004,2739,18
2021-01-19,113305,91200,1464,1301,1261,15
2021-01-20,114691,92336,1478,1386,1136,14
2021-01-21,116653,93626,1485,1962,1290,7
2021-01-22,118138,94150,1490,1485,524,5
2021-01-23,120602,95174,1495,2464,1024,5
2021-01-24,121566,96501,1497,964,1327,2
2021-01-25,122996,98359,1507,1430,1858,10
2021-01-26,124299,99276,1522,1303,917,15
2021-01-27,126160,100365,1543,1861,1089,21
2021-01-28,127024,100858,1547,864,493,4
2021-01-29,128674,102780,1577,1650,1922,30
2021-01-30,130557,103712,1578,1883,932,1
2021-01-31,131242,104989,1586,685,1277,8
2021-02-01,131918,106275,1607,676,1286,21
2021-02-02,133552,107551,1613,1634,1276,6
2021-02-03,134690,108657,1618,1138,1106,5
2021-02-04,136030,110449,1632,1340,1792,14
2021-02-05,137654,111639,1641,1624,1190,9
2021-02-06,139242,112557,1647,1588,918,6
2021-02-07,139748,113525,1667,506,968,20
2021-02-08,140391,114635,1673,643,1110,6
2021-02-09,141447,115755,1694,1056,1120,21
2021-02-10,142578,116947,1702,1131,1192,8
2021-02-11,143516,118012,1710,938,1065,8
2021-02-12,144521,118866,1734,1005,854,24
2021-02-13,145664,120399,1747,1143,1533,13
2021-02-14,146184,120838,1752,520,439,5
2021-02-15,146928,123009,1761,744,2171,9
2021-02-16,148296,124483,1777,1368,1474,16
2021-02-17,149369,125722,1787,1073,1239,10
2021-02-18,150246,126466,1803,877,744,16
2021-02-19,150908,127524,1813,662,1058,10
2021-02-20,151553,128054,1831,645,530,18
2021-02-21,152074,128668,1839,521,614,8
2021-02-22,152616,129391,1862,542,723,23
2021-02-23,153187,130034,1874,571,643,12
2021-02-24,153842,130841,1885,655,807,11
2021-02-25,154476,131722,1891,634,881,6
2021-02-26,155076,132566,1902,600,844,11
2021-02-27,155417,133329,1905,341,763,3
2021-02-28,155657,133841,1907,240,512,2
2021-03-01,156017,134489,1915,360,648,8
2021-03-02,156496,135136,1923,479,647,8
2021-03-03,156963,135812,1939,467,676,16
2021-03-04,157671,136335,1951,708,523,12
2021-03-05,158042,137025,1954,371,690,3
2021-03-06,158237,137645,1964,195,620,10
2021-03-07,158506,137890,1969,269,245,5
2021-03-08,158906,138502,1982,400,612,13
2021-03-09,159252,139056,1988,346,554,6
2021-03-10,159646,139983,1993,394,927,5
2021-03-11,159933,142404,2001,287,2421,8
2021-03-12,160332,144059,2009,399,1655,8
2021-03-13,160537,144714,2013,205,655,4
2021-03-14,160657,145399,2013,120,685,0
2021-03-15,160895,145752,2016,238,353,3
2021-03-16,161074,146072,2018,179,320,2
2021-03-17,161074,146072,2018,0,0,0
2021-03-18,161409,146890,2027,335,818,9
2021-03-19,161539,147581,2027,130,691,0
2021-03-20,161651,147775,2030,112,194,3
2021-03-21,161737,147899,2030,86,124,0
2021-03-22,161868,148125,2030,131,226,0
2021-03-23,162082,148530,2031,214,405,1
2021-03-24,162178,148726,2031,96,196,0
2021-03-25,162178,148726,2031,0,0,0
2021-03-26,162388,149986,2039,210,1260,8
2021-03-27,162388,149986,2039,0,0,0
2021-03-28,162593,150308,2048,205,322,9
2021-03-29,162641,150466,2049,48,158,1
2021-03-30,162641,150466,2049,0,0,0
2021-03-31,162891,151648,2057,250,1182,8
2021-04-01,162997,151708,2058,106,60,1
2021-04-02,163063,151835,2058,66,127,0
2021-04-03,163113,151853,2058,50,18,0
2021-04-04,163195,151998,2058,82,145,0
2021-04-05,163195,151998,2058,0,0,0
2021-04-06,163498,153788,2058,303,1790,0
2021-04-07,163581,154005,2058,83,217,0
2021-04-08,163652,154073,2059,71,68,1
2021-04-09,163736,154098,2060,84,25,1
2021-04-10,163793,154107,2060,57,9,0
2021-04-11,163837,154177,2061,44,70,1
2021-04-12,163911,154225,2061,74,48,0
2021-04-13,164000,154270,2061,89,45,0
2021-04-14,164000,154270,2061,0,0,0
2021-04-15,164080,154285,2061,80,15,0
2021-04-16,164207,154325,2061,127,40,0
2021-04-17,164233,154332,2061,26,7,0
2021-04-18,164303,154384,2061,70,52,0
2021-04-19,164423,154406,2061,120,22,0
2021-04-20,164488,154441,2061,65,35,0
2021-04-21,164488,154441,2061,0,0,0
2021-04-22,164588,154578,2061,100,137,0
2021-04-23,164633,154643,2061,45,65,0
2021-04-24,164719,154926,2061,86,283,0
2021-04-25,164756,154963,2062,37,37,1
2021-04-26,164756,154963,2062,0,0,0
2021-04-27,164912,155012,2063,156,49,1
2021-04-28,165055,155041,2063,143,29,0
2021-04-29,165055,155041,2063,0,0,0
2021-04-30,165153,155109,2063,98,68,0
2021-05-01,165167,155361,2063,14,252,0
2021-05-02,165181,155361,2063,14,0,0
2021-05-03,165233,155381,2063,52,20,0
2021-05-04,165233,155381,2063,0,0,0
2021-05-05,165313,155434,2065,80,53,2
2021-05-06,165352,155464,2065,39,30,0
2021-05-07,165382,156265,2065,30,801,0
2021-05-08,165382,156265,2065,0,0,0
2021-05-09,165468,156318,2065,86,53,0
2021-05-10,165468,156318,2065,0,0,0
2021-05-11,165515,156358,2065,47,40,0
2021-05-12,165612,156387,2066,97,29,1
2021-05-13,165612,156387,2066,0,0,0
2021-05-14,165661,156399,2066,49,12,0
2021-05-15,165702,156412,2066,41,13,0
2021-05-16,165702,156412,2066,0,0,0
2021-05-17,165778,156414,2067,76,2,1
2021-05-18,165809,156419,2067,31,5,0
2021-05-19,165901,156458,2067,92,39,0
2021-05-20,165901,156458,2067,0,0,0
2021-05-21,165901,156458,2067,0,0,0
2021-05-22,166018,156475,2067,117,17,0
2021-05-23,166019,156476,2067,1,1,0
2021-05-24,166098,156528,2071,79,52,4
2021-05-25,166098,156528,2071,0,0,0
2021-05-26,166146,156529,2071,48,1,0
2021-05-27,166191,156535,2071,45,6,0
2021-05-28,166285,156557,2071,94,22,0
2021-05-29,166315,156558,2071,30,1,0
2021-05-30,166518,158781,2099,203,2223,28
2021-05-31,166535,159935,2099,17,1154,0
2021-06-01,166560,159946,2099,25,11,0
2021-06-02,166560,159946,2099,0,0,0
2021-06-03,166560,159946,2099,0,0,0
2021-06-04,166560,159946,2099,0,0,0
2021-06-05,166560,159946,2099,0,0,0
2021-06-06,166560,159946,2099,0,0,0
2021-06-07,166816,163190,2117,256,3244,18
